Company,BirthDate,Salary,Address,Suburb,State,Post,Phone,Mobile,Email,FullName,SalaryBucket,age
Duncan & Associates,06/10/1970,"$232,908.5625",259 1st Ave,Mccutcheon,QLD,4856,754046221,493826469,josefa_oakland@oakland.com.au,Josefa Oakland,C,54
Philip Kingsley Trichological,17/02/1970,"$181,214.4219",79 Mechanic St,Pimpimbudgee,QLD,4615,763825073,440980784,deeann_nicklous@gmail.com,Deeann Nicklous,C,54
Burlington Homes Of Maine,14/12/1970,"$940,583.6875",269 Executive Dr,Ilford,NSW,2850,282229319,435530318,jvonstaden@gmail.com,Jeannetta Vonstaden,C,53
"Carson, Scott W Esq",10/11/1970,"$117,042.3672",79 Runamuck Pl,Caparra,NSW,2429,217068506,427106677,desmond@hotmail.com,Desmond Amuso,C,53
Dewitt Cnty Fed Svngs & Ln,12/01/1970,"$487,814.2188",31 Guilford Rd #7904,Duaringa,QLD,4712,759221983,495376112,tbakey@bakey.com.au,Trina Bakey,C,54
Art Material Services Inc,12/03/1970,"$471,771.2188",504 Steve Dr,Weston,NSW,2326,243608467,479654997,ramonita_picotte@yahoo.com,Ramonita Picotte,C,54
Consolidated Manufacturing Inc,16/04/1970,"$494,944.4375",407 E 57th Ave,Clunes,NSW,2480,225817479,452835388,temeka.bodine@gmail.com,Temeka Bodine,C,54
Reliance Credit Union,21/05/1970,"$601,897.8750",72 W Ripley Ave,Oakey,QLD,4401,769849278,493653304,bea_iida@iida.net.au,Bea Iida,C,54
Sinclair Machine Products Inc,06/02/1970,"$124,172.5938",75 Elm Rd #1190,Barton,ACT,2600,212918182,444126746,soledad_mockus@yahoo.com,Soledad Mockus,C,54
"Kent, Wendy M Esq",28/07/1970,"$637,549.0000",32 Broadway St,Lanena,TAS,7275,397217313,442360982,margurite.okon@hotmail.com,Margurite Okon,C,54
"Dixon, Eric D Esq",16/02/1970,"$840,760.5000",41 Washington Blvd,Cora Lynn,VIC,3814,334572524,433550202,artie_saine@yahoo.com,Artie Saine,C,54
Wood Sign & Banner Co,03/12/1970,"$120,607.4766",5 Buford Hwy Ne #3,Allora,QLD,4362,713776898,426784480,major@gmail.com,Major Studwell,C,53
"Adkins, Russell Esq",09/08/1970,"$551,986.2500",6 Flex Ave,Willow Tree,NSW,2339,242025191,434402895,veronika.buchauer@buchauer.net.au,Veronika Buchauer,C,54
Danform Shoe Stores,09/11/1970,"$141,998.1562",21058 Massillon Rd,Keilor Downs,VIC,3038,336302467,451465174,christene@hotmail.com,Christene Cisney,C,53
Antietam Cable Television,07/10/1970,"$944,148.8125",28465 Downey Ave #4238,Barringun,QLD,4490,785615894,475337188,miles@hotmail.com,Miles Feldner,C,54
Lombardi Bros Inc,15/12/1970,"$650,026.8750",2803 N Catalina Ave,Pilliga,NSW,2388,269959902,464594316,julio.mikel@mikel.net.au,Julio Mikel,C,53
Nathaniel Electronics,23/06/1970,"$748,067.5625",22 Livingston Ave,Rhodes,NSW,2138,237387508,443448467,aide.ghera@ghera.com.au,Aide Ghera,C,54
"Rodriguez, Joseph A Esq",16/02/1970,"$452,163.0938",403 Conn Valley Rd,Castletown,WA,6450,837733770,454135614,noelia@brackett.net.au,Noelia Brackett,C,54
"Stilling, William J Esq",null,"$781,936.1250",5400 Market St,Turill,NSW,2850,278625151,454434110,lenora@delacruz.net.au,Lenora Delacruz,C,null
